,timestamp,end_timestamp,Slot,Segment No.,Total Airtime (seconds),target_audience,reach_avg,length,Priority_scheduel,Campaign,Priority,HN,Notes,Target-Audience(Male/Female/Kids),Promo Duration Seconds,Promo Duration,schd_start_ts,schd_end_ts,promo_start_ts,promo_end_ts
49,2024-01-31 01:18:00,2024-01-31 01:22:00,22,3,360,female/male,904.5,0 days 00:04:00,L,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-31 00:43:36,2024-01-31 00:47:36,2024-01-31 00:47:36,2024-01-31 00:48:31
50,2024-01-31 01:22:00,2024-01-31 01:27:00,22,4,360,female/male,839.4,0 days 00:05:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-31 00:48:31,2024-01-31 00:53:31,2024-01-31 00:53:31,2024-01-31 00:54:06
51,2024-01-31 02:00:00,2024-01-31 02:16:00,23,1,240,female/male,667.0625,0 days 00:16:00,L,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-31 00:54:06,2024-01-31 01:10:06,2024-01-31 01:10:06,2024-01-31 01:11:48
52,2024-01-31 02:16:00,2024-01-31 02:27:00,23,2,240,female/male,659.9090909,0 days 00:11:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-31 01:11:48,2024-01-31 01:22:48,2024-01-31 01:22:48,2024-01-31 01:23:48
53,2024-01-31 02:27:00,2024-01-31 02:37:00,23,3,240,female/male,650.3,0 days 00:10:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-31 01:23:48,2024-01-31 01:33:48,2024-01-31 01:33:48,2024-01-31 01:34:23
54,2024-01-31 03:00:00,2024-01-31 03:15:00,24,1,300,female/male,601.7333333,0 days 00:15:00,L,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-31 01:34:23,2024-01-31 01:49:23,2024-01-31 01:49:23,2024-01-31 01:51:05
55,2024-01-31 03:15:00,2024-01-31 03:30:00,24,2,300,female/male,633.4,0 days 00:15:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-31 01:51:05,2024-01-31 02:06:05,2024-01-31 02:06:05,2024-01-31 02:07:05
56,2024-01-31 03:30:00,2024-01-31 03:46:00,24,3,300,female/male,662.3125,0 days 00:16:00,L,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-31 02:07:05,2024-01-31 02:23:05,2024-01-31 02:23:05,2024-01-31 02:24:00
57,2024-01-31 03:46:00,2024-01-31 04:01:00,24,4,300,female/male,685.9333333,0 days 00:15:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-31 02:24:00,2024-01-31 02:39:00,2024-01-31 02:39:00,2024-01-31 02:39:35
58,2024-01-31 04:30:00,2024-01-31 04:39:00,25,1,120,female/male,701.7777778,0 days 00:09:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-31 02:39:35,2024-01-31 02:48:35,2024-01-31 02:48:35,2024-01-31 02:49:35
59,2024-01-31 04:39:00,2024-01-31 04:48:00,25,2,120,female/male,685.1111111,0 days 00:09:00,L,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-31 02:49:35,2024-01-31 02:58:35,2024-01-31 02:58:35,2024-01-31 02:59:30
60,2024-01-31 05:00:00,2024-01-31 05:14:00,26,1,240,female,667.8571429,0 days 00:14:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-31 02:59:30,2024-01-31 03:13:30,2024-01-31 03:13:30,2024-01-31 03:14:30
61,2024-01-31 05:14:00,2024-01-31 05:22:00,26,2,240,female,676.75,0 days 00:08:00,L,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-31 03:14:30,2024-01-31 03:22:30,2024-01-31 03:22:30,2024-01-31 03:23:25
62,2024-01-31 05:22:00,2024-01-31 05:30:00,26,3,240,female,680.125,0 days 00:08:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-31 03:23:25,2024-01-31 03:31:25,2024-01-31 03:31:25,2024-01-31 03:32:00
